amount,hour,category,distance_from_home,txns_last_hour,is_foreign,is_fraud
18.69,15,auto,16.83,1,0,0
4.49,23,grocery,23.44,0,1,0
84.44,6,subscription,29.64,1,0,0
7.14,13,retail,1.63,1,0,0
19.15,12,auto,6.17,1,0,0
18.05,15,fuel,53.72,0,0,0
20.9,19,grocery,9.21,0,1,0
41.59,17,home,10.73,0,0,0
3.87,17,services,25.09,0,0,0
24.81,13,electronics,60.49,2,0,0
23.88,18,services,2.54,2,0,0
143.75,12,luxury,10.1,1,0,0
28.69,5,grocery,20.69,0,0,0
4.39,17,services,40.5,0,0,0
37.12,9,home,23.94,2,0,0
18.94,9,food,11.14,1,0,0
8.03,19,food,59.76,2,0,0
225.31,10,travel,26.45,0,0,0
12.99,23,pharmacy,35.46,1,0,0
4.95,12,subscription,28.52,0,0,0
23.67,12,food,6.77,0,0,0
11.07,11,grocery,8.76,0,0,0
76.72,23,home,19.57,1,0,0
53.97,5,retail,21.98,2,0,0
18.18,15,subscription,23.94,0,0,0
42.62,8,fuel,4.45,0,0,0
26.7,8,retail,52.39,1,0,0
11.48,10,hardware,20.21,1,0,0
21.41,16,subscription,28.42,0,0,0
44.82,14,services,52.25,1,0,0
27.63,23,subscription,12.15,1,0,0
276.14,15,luxury,29.22,0,0,0
8.79,19,pharmacy,62.63,0,0,0
18.63,23,food,39.92,0,0,0
287.47,21,luxury,37.49,0,0,0
61.37,11,subscription,16.62,0,0,0
7.92,17,services,32.56,0,0,0
4.79,13,subscription,28.23,2,0,0
8.8,14,pharmacy,8.53,1,0,0
46.63,16,retail,4.4,1,0,0
25.99,17,services,16.12,0,0,0
22.81,19,auto,33.62,0,0,0
16.56,16,grocery,23.27,1,0,0
12.17,10,hardware,25.5,1,0,0
77.1,14,electronics,12.89,1,0,0
27.27,11,luxury,62.34,0,0,0
25.26,21,hardware,44.13,0,0,0
25.43,8,retail,34.14,1,0,0
2.32,18,pharmacy,29.16,1,0,0
10.19,16,travel,38.6,1,0,0
25.01,20,pharmacy,61.12,2,0,0
10.26,13,grocery,37.43,1,0,0
36.19,15,grocery,12.53,0,0,0
13.14,15,services,16.03,0,0,0
61.72,20,food,42.69,0,0,0
46.04,23,subscription,51.07,2,0,0
5.68,15,pharmacy,31.41,1,0,0
10.8,22,subscription,46.79,2,0,0
16.49,14,home,37.5,1,0,0
9.73,18,hardware,31.71,0,0,0
6.22,16,hardware,11.88,1,0,0
46.37,19,subscription,18.46,1,0,0
55.57,23,travel,20.36,1,0,0
2.72,19,retail,23.21,1,0,0
93.51,14,electronics,18.03,1,0,0
20.81,10,services,13.18,1,0,0
12.34,15,subscription,64.34,0,0,0
15.42,12,home,20.26,1,0,0
49.4,19,auto,25.25,0,0,0
17.92,19,food,19.54,0,0,0
3.49,15,fuel,27.07,2,0,0
121.33,10,services,43.14,1,0,0
7.8,8,pharmacy,27.25,0,1,0
21.07,18,pharmacy,28.58,0,0,0
24.05,19,services,15.25,0,0,0
57.52,15,luxury,52.69,0,0,0
12.37,23,luxury,72.93,3,0,1
13.24,14,hardware,28.06,1,0,0
34.94,6,hardware,8.1,2,1,0
6.86,12,pharmacy,21.46,2,0,0
18.42,14,services,14.13,0,0,0
13.48,14,food,13.23,0,0,0
29.31,15,food,17.43,0,0,0
10.64,23,hardware,43.2,1,0,0
137.12,18,auto,30.95,1,0,0
149.41,14,electronics,28.71,0,0,0
18.1,14,subscription,25.09,1,0,0
11.35,20,hardware,10.55,0,0,0
148.38,21,luxury,5.22,1,0,0
20.7,15,home,22.96,1,0,0
185.2,15,luxury,22.61,0,0,0
43.75,12,fuel,12.73,1,0,0
2.33,11,auto,35.08,0,0,0
106.2,16,auto,32.91,0,0,0
11.1,12,food,6.77,1,0,0
159.33,14,home,31.04,0,0,0
40.08,20,subscription,60.88,0,0,0
8.7,21,food,46.49,1,0,0
32.58,15,travel,10.86,1,1,0
5.72,14,grocery,27.13,1,0,0
5.95,20,grocery,49.94,0,0,0
3.66,15,grocery,47.05,0,0,0
56.62,11,travel,13.82,0,0,0
81.77,8,food,41.7,1,0,0
4.55,19,grocery,32.53,0,0,0
62.44,7,electronics,15.38,2,0,0
53.36,7,electronics,35.07,0,0,0
41.17,20,travel,52.65,0,1,0
173.73,19,electronics,22.9,1,0,0
